Speaker,Sex,Consonant,laryngeal_contrast,POA,Vowel,Ceiling,F2_5,F2_50
SF3,female,t,voiceless,alveolar,i,4760,2859.4,2007.6
SF3,female,t,voiceless,alveolar,i,4760,2844.9,464.9
SF1,female,t,voiceless,alveolar,i,5510,2839.2,1499.6
SF5,female,t,voiceless,alveolar,i,5510,2821.1,2315.3
SF5,female,t,voiceless,alveolar,i,5510,2820.9,2063.7
SF5,female,t,voiceless,alveolar,i,5510,2800.9,2410.6
SF3,female,t,voiceless,alveolar,i,4760,2794.4,2183.8
SF5,female,t,voiceless,alveolar,i,5510,2790,2053.1
SF5,female,t,voiceless,alveolar,i,5510,2777.8,1714.3
SF5,female,t,voiceless,alveolar,i,5510,2761.2,1934.9
SF3,female,t,voiceless,alveolar,i,4760,2741.9,2175.7
SF4,female,t,voiceless,alveolar,i,6500,2722.9,2068
SF1,female,t,voiceless,alveolar,i,5510,2709.2,1542.7
SF4,female,t,voiceless,alveolar,i,6500,2701,2246.7
SF3,female,t,voiceless,alveolar,i,4760,2696.6,1516.1
SF3,female,t,voiceless,alveolar,i,4760,2658.1,2070.7
SF2,female,t,voiceless,alveolar,i,6500,2644.2,2346
SF2,female,t,voiceless,alveolar,i,6500,2631.8,2458.9
SF4,female,t,voiceless,alveolar,i,6500,2625.7,1738.3
SF4,female,t,voiceless,alveolar,i,6500,2611,1698.9
SF1,female,t,voiceless,alveolar,i,5510,2610.7,1785.4
SF4,female,t,voiceless,alveolar,i,6500,2607.2,1625.9
SF2,female,t,voiceless,alveolar,i,6500,2593.7,2486.4
SF4,female,t,voiceless,alveolar,i,6500,2583.9,1800.4
SF2,female,t,voiceless,alveolar,i,6500,2562.9,1870.5
SF2,female,t,voiceless,alveolar,i,6500,2562.4,2091.4
SF1,female,t,voiceless,alveolar,i,5510,2540,2060.8
SF2,female,t,voiceless,alveolar,i,6500,2540,1982.7
SF1,female,t,voiceless,alveolar,i,5510,2488.8,1643.4
SF1,female,t,voiceless,alveolar,i,5510,2443.2,1245.3
SM4,male,t,voiceless,alveolar,i,4970,2346.2,2012.8
SM4,male,t,voiceless,alveolar,i,4970,2275,1562.3
SM4,male,t,voiceless,alveolar,i,4970,2247.3,1124.2
SM4,male,t,voiceless,alveolar,i,4970,2243.4,1279.4
SM4,male,t,voiceless,alveolar,i,4970,2174.7,1446.5
SM2,male,t,voiceless,alveolar,i,5970,2170.4,1253.2
SM4,male,t,voiceless,alveolar,i,4970,2142.8,1330.2
SM1,male,t,voiceless,alveolar,i,5960,2137.4,2254.1
SM5,male,t,voiceless,alveolar,i,5620,2130.3,2008.4
SM2,male,t,voiceless,alveolar,i,5970,2112.5,1220.4
SM2,male,t,voiceless,alveolar,i,5970,2105.9,1396.1
SM1,male,t,voiceless,alveolar,i,5960,2105.4,2268.6
SM2,male,t,voiceless,alveolar,i,5970,2098.4,1357.5
SM5,male,t,voiceless,alveolar,i,5620,2090,2208.8
SM5,male,t,voiceless,alveolar,i,5620,2083.8,2233.6
SM1,male,t,voiceless,alveolar,i,5960,2082.2,2145.2
SM2,male,t,voiceless,alveolar,i,5970,2079.3,1304
SM5,male,t,voiceless,alveolar,i,5620,2074,1690.4
SM1,male,t,voiceless,alveolar,i,5960,2053.4,2094.7
SM5,male,t,voiceless,alveolar,i,5620,2033.7,2030.7
SM5,male,t,voiceless,alveolar,i,5620,1996.6,2001.4
SM2,male,t,voiceless,alveolar,i,5970,1995.5,1204.1
SM1,male,t,voiceless,alveolar,i,5960,1984.3,2184.9
SF3,female,t,voiceless,alveolar,a,5370,1833.1,1410.8
SM2,male,t,voiceless,alveolar,a,4500,1781.2,1282.4
SF1,female,t,voiceless,alveolar,a,5350,1775,1402.5
SF3,female,t,voiceless,alveolar,a,5370,1773.1,1445.9
SF3,female,t,voiceless,alveolar,u,5130,1768.9,1801.8
SF3,female,t,voiceless,alveolar,a,5370,1763.2,1408.4
SF3,female,t,voiceless,alveolar,u,5130,1735.4,1508.9
SF3,female,t,voiceless,alveolar,a,5370,1709.3,1440.6
SF3,female,t,voiceless,alveolar,a,5370,1708.5,1404.1
SF3,female,t,voiceless,alveolar,u,5130,1692.3,1872
SF3,female,t,voiceless,alveolar,u,5130,1684,1763.3
SF1,female,t,voiceless,alveolar,a,5350,1672.8,1280
SF2,female,t,voiceless,alveolar,a,6450,1669,1341.9
SF3,female,t,voiceless,alveolar,u,5130,1664,1371.5
SF5,female,t,voiceless,alveolar,a,6500,1660.6,1370
SF1,female,t,voiceless,alveolar,a,5350,1655.6,1247.1
SF2,female,t,voiceless,alveolar,a,6450,1618.8,1341.6
SF3,female,t,voiceless,alveolar,a,5370,1615.5,1281.8
SF1,female,t,voiceless,alveolar,a,5350,1606.6,1241.7
SF1,female,t,voiceless,alveolar,a,5350,1604.4,1303.6
SF5,female,t,voiceless,alveolar,a,6500,1602.6,1274.1
SF5,female,t,voiceless,alveolar,a,6500,1601.2,1263.6
SF1,female,t,voiceless,alveolar,a,5350,1601.1,1349.7
SM3,male,t,voiceless,alveolar,i,4010,1599.3,1601.9
SF5,female,t,voiceless,alveolar,a,6500,1597,1322.4
SF5,female,t,voiceless,alveolar,a,6500,1593.1,1306.8
SF2,female,t,voiceless,alveolar,a,6450,1574.5,1342.5
SF4,female,t,voiceless,alveolar,a,5680,1570.9,1383.5
SF4,female,t,voiceless,alveolar,a,5680,1570.7,1332.3
SF4,female,t,voiceless,alveolar,a,5680,1569,1319.1
SF4,female,t,voiceless,alveolar,a,5680,1563.5,1419.8
SF2,female,t,voiceless,alveolar,a,6450,1558,1247.2
SF4,female,t,voiceless,alveolar,a,5680,1555.2,1243.3
SF3,female,t,voiceless,alveolar,u,5130,1551.2,1784.4
SF4,female,t,voiceless,alveolar,u,4500,1550.2,1778
SF4,female,t,voiceless,alveolar,a,5680,1520.3,1254.9
SF5,female,t,voiceless,alveolar,a,6500,1511.8,1139.4
SF2,female,t,voiceless,alveolar,a,6450,1504.5,1242.5
SM3,male,t,voiceless,alveolar,a,4190,1501.7,1142.3
SM3,male,t,voiceless,alveolar,i,4010,1499.9,1566.3
SM3,male,t,voiceless,alveolar,a,4190,1498.8,1196.2
SM3,male,t,voiceless,alveolar,u,4000,1495.1,1494.9
SM3,male,t,voiceless,alveolar,a,4190,1488.7,1205.4
SF5,female,t,voiceless,alveolar,u,5830,1482.8,1771.7
SM3,male,t,voiceless,alveolar,a,4190,1476.5,1190.1
SM3,male,t,voiceless,alveolar,u,4000,1463.3,1522.5
SM3,male,t,voiceless,alveolar,a,4190,1462.7,1186.3
SF2,female,t,voiceless,alveolar,u,5520,1454.5,1725.3
SF5,female,t,voiceless,alveolar,u,5830,1436.7,1840.4
SM2,male,t,voiceless,alveolar,a,4500,1426.7,1217.9
SM2,male,t,voiceless,alveolar,a,4500,1425.2,1125.5
SF2,female,t,voiceless,alveolar,a,6450,1424.2,1220.4
SM2,male,t,voiceless,alveolar,a,4500,1421.5,1173.6
SM3,male,t,voiceless,alveolar,i,4010,1412.6,1664.2
SM2,male,t,voiceless,alveolar,a,4500,1412,1109.8
SM2,male,t,voiceless,alveolar,a,4500,1401.3,1042.5
SM2,male,t,voiceless,alveolar,a,4500,1397.6,1136.6
SM1,male,t,voiceless,alveolar,a,4460,1388.8,1039.2
SM3,male,t,voiceless,alveolar,a,4190,1372.9,1176.4
SF4,female,t,voiceless,alveolar,u,4500,1365.1,1703.3
SM1,male,t,voiceless,alveolar,a,4460,1363.9,1032.5
SF5,female,t,voiceless,alveolar,u,5830,1362,1709.2
SM5,male,t,voiceless,alveolar,a,4740,1358.1,1192.8
SM1,male,t,voiceless,alveolar,a,4460,1357,1045.4
SF5,female,t,voiceless,alveolar,u,5830,1356.4,1620.5
SF2,female,t,voiceless,alveolar,u,5520,1346.5,1717.7
SM3,male,t,voiceless,alveolar,u,4000,1346.2,1560.9
SM1,male,t,voiceless,alveolar,i,5960,1345.6,1560.7
SM5,male,t,voiceless,alveolar,a,4740,1335.8,1080.4
SM5,male,t,voiceless,alveolar,a,4740,1334.1,1091.2
SM5,male,t,voiceless,alveolar,a,4740,1332.8,1041.3
SM1,male,t,voiceless,alveolar,a,4460,1329.6,976.2
SM5,male,t,voiceless,alveolar,a,4740,1324.9,1066.4
SM4,male,t,voiceless,alveolar,u,4000,1317.4,1451.7
SF1,female,t,voiceless,alveolar,u,5350,1315.3,1660.3
SF1,female,t,voiceless,alveolar,u,5350,1315.2,1572.3
SM1,male,t,voiceless,alveolar,a,4460,1305.6,1074.6
SF2,female,t,voiceless,alveolar,u,5520,1302.1,1551
SM1,male,t,voiceless,alveolar,a,4460,1295,961.2
SF1,female,t,voiceless,alveolar,u,5350,1294.8,1578.3
SM4,male,t,voiceless,alveolar,u,4000,1294.2,1420.3
SF4,female,t,voiceless,alveolar,u,4500,1293.4,1636.5
SM4,male,t,voiceless,alveolar,u,4000,1289.2,1463.5
SM5,male,t,voiceless,alveolar,a,4740,1262.9,1007.9
SM3,male,t,voiceless,alveolar,i,4010,1260,1631.4
SM1,male,t,voiceless,alveolar,a,4460,1259.7,985
SM4,male,t,voiceless,alveolar,a,4570,1247.2,1034.6
SM4,male,t,voiceless,alveolar,a,4570,1247.2,1003.4
SF2,female,t,voiceless,alveolar,u,5520,1245.2,998.8
SM2,male,t,voiceless,alveolar,u,4010,1245.1,1507.7
SF1,female,t,voiceless,alveolar,u,5350,1238,1283
SM4,male,t,voiceless,alveolar,a,4570,1227.9,1010.2
SF4,female,t,voiceless,alveolar,u,4500,1215.6,948
SM4,male,t,voiceless,alveolar,a,4570,1215.4,948.6
SM4,male,t,voiceless,alveolar,a,4570,1212.6,894.1
SM3,male,t,voiceless,alveolar,u,4000,1211.8,1117.4
SF5,female,t,voiceless,alveolar,u,5830,1207.8,979.1
SM3,male,t,voiceless,alveolar,u,4000,1201.6,991.7
SM2,male,t,voiceless,alveolar,u,4010,1199,959.1
SM2,male,t,voiceless,alveolar,u,4010,1196.1,1397.7
